ID,Block,subID,blockStratum,substratum,zone,x,y,centx,centy,long,lat,MGRS
168365_3,168365,3,oldcrop_short,2,43,449434.9654,2391873.711,449445,2391885,74.5114884,21.62938105,43QDD
168365_4,168365,4,oldcrop_short,3,43,449100.8972,2390885.133,449115,2390895,74.50832996,21.62042735,43QDD
168365_5,168365,5,oldcrop_short,3,43,448376.4233,2388661.799,448365,2388675,74.50115216,21.60034885,43QDD
168365_6,168365,6,oldcrop_short,4,43,456284.4838,2395369.232,456285,2395365,74.57749019,21.66100292,43QDD
168365_7,168365,7,oldcrop_short,1,43,449468.7596,2392026.215,449475,2392035,74.51177372,21.6307371,43QDD
168365_8,168365,8,oldcrop_short,2,43,453621.4906,2392593.231,453615,2392605,74.55176195,21.63599955,43QDD
168365_9,168365,9,oldcrop_short,3,43,456089.427,2396382.935,456075,2396385,74.57543359,21.67021312,43QDD
168365_10,168365,10,oldcrop_short,2,43,449484.0343,2391343.735,449475,2391345,74.51179466,21.62450319,43QDD
168365_11,168365,11,oldcrop_short,4,43,450141.307,2394608.497,450135,2394615,74.51807383,21.65406507,43QDD
168365_12,168365,12,oldcrop_short,2,43,451113.8174,2396828.694,451125,2396835,74.52757625,21.67414943,43QDD
168365_13,168365,13,oldcrop_short,3,43,454110.3751,2390549.541,454125,2390535,74.55674722,21.61731093,43QDD
168365_14,168365,14,oldcrop_short,1,43,452859.8438,2395522.017,452865,2395515,74.54443206,21.66227072,43QDD
168365_15,168365,15,oldcrop_short,3,43,453125.4547,2394184.735,453135,2394195,74.54707882,21.65035211,43QDD
168365_16,168365,16,oldcrop_short,2,43,454769.2787,2392065.149,454755,2392065,74.56279269,21.63115016,43QDD
168365_17,168365,17,oldcrop_short,2,43,448089.2665,2396570.381,448095,2396565,74.49829766,21.67162415,43QDD
168365_18,168365,18,oldcrop_short,1,43,454150.576,2392580.406,454155,2392575,74.55698091,21.6357425,43QDD
168365_19,168365,19,oldcrop_short,1,43,451205.3502,2391385.517,451215,2391375,74.52860635,21.62482275,43QDD
168365_20,168365,20,oldcrop_short,3,43,454786.1379,2391685.986,454785,2391675,74.56309317,21.62762738,43QDD
171471_1,171471,1,builtnewalert,1,43,638884.1681,2421244.737,638895,2421255,76.34448545,21.88996181,43QFE
171471_2,171471,2,builtnewalert,4,43,639144.6829,2428009.115,639135,2428005,76.34738174,21.95090981,43QFE
171471_3,171471,3,builtnewalert,1,43,638496.3247,2421669.081,638505,2421675,76.34074657,21.89378612,43QFE
171471_4,171471,4,builtnewalert,2,43,646185.0599,2420152.803,646185,2420145,76.4149368,21.87934511,43QFE
171471_5,171471,5,builtnewalert,2,43,647433.4168,2421170.971,647445,2421165,76.42722123,21.88845243,43QFE
171471_6,171471,6,builtnewalert,3,43,645196.5844,2422629.251,645195,2422635,76.40557714,21.90191671,43QFE
171471_7,171471,7,builtnewalert,3,43,643259.8292,2422633.776,643245,2422635,76.38670419,21.90207683,43QFE
171471_8,171471,8,builtnewalert,2,43,638849.6113,2421400.236,638835,2421405,76.34391748,21.89132138,43QFE
